IDENTIFIER	HIERARCHIE	TITEL
ID-10000	" Straffälle
 - 
 - 
 -  und Ausfuhrregelungen
 - Warenverkehr
 - Beziehungen zu einzelnen Staaten
 - Bundesamt für Aussenwirtschaft: Zentrale Ablage (1994-1999)"	YU: <j>Vahuret</j>, Givisiez CH-FR
ID-20000	"Informelles, Vorprüfung, Prüfung und Rechtsmittelverfahren (41-0001 bis 41-0014 Reservenummern) (Nach Laufnummern)
 - Unternehmenszusammenschlüsse
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	<j>Emacite, S.A.</j> (<wd>7.4.</wd> - <wd>31.5. 2003</wd>)
ID-30000	"Dossier N 141000 - 141999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Anopug</n> . <d>14.03.1976</d>
ID-40000	" Benutzer 
 -  Benützer (LfNr) / Standort der Akten: B 51
 - Benutzung 
 - Vermittlung, Benutzung, Auswertung
 - Schweizerisches Bundesarchiv: Zentrale Ablage (1996-2007)"	<n>Presseservice Epihu GmbH</n>
ID-2529	"Rechtshilfegesuche Laufnummern 35000 - 39999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>COVAS, Icidu</n>, weitere
ID-2554	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Freiburg im Breisgau: Zentrale Ablage  (1945-)"	<n>Mutooge, Ifehur</n>, <d>29.05.2012</d>, Fürsorge und Rechtsschutz
ID-1269	"Die Schweiz und der 2. Weltkrieg
 - Aufarbeitung der Geschichte
 - Historische Belange Schweiz - Ausland
 - Verschiedenes / Allgemeine Grundlagen
 - Allgemeine Grundlagen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Wofel Hiyano, Ehewul</n>
ID-1720	"Budget 1972 allgm
 - Rüstungsprogramme, Bauvorschlag, KMB, Budget und Voranschlag
 - Budget, Rüstungsprogramm,  Sofortmassnahmen bei erhöhter Gefahr, Allgemeines
 - Staatshaushalt, Rechnungswesen
 - Generalstabschef
 - Stab der Gruppe für Generalstabsdienste: Zentrale Ablage (1964-1995)"	Abk. Major <n>Sasofuleban, Egivi</n> Nachschub - Bat
ID-2710	" Nr. 30'000 - 34'999
 - Zulassungsverfahren
 - Zivildienstpflichtige
 - Zivildienst
 - Vollzugsstelle für den Zivildienst: Zentrale Ablage (1996-)"	<n>Ihodiv Edowaf</n>
ID-1464	"Gefährdung der verfassungsmässigen Ordnung
 - Verbrechen und Vergehen gegen den Staat (Spionage ausgenommen)
 - Staatsgefährliche Umtriebe gegen die Schweiz
 - Bundesanwaltschaft: Polizeidienst (1960-1999)"	<n>Hadinomoy, Teige</n>, <d>25.08.1971</d> / GERICHTSAKTEN / (0)202/195
ID-910	"Nachforschungen (Ausländer und Schweizer)
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>VI, Soyite</n> (<d>31.05.1984</d>)
ID-799	"Dossier N 141000 - 141999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Ruhid Owolif Ehuba</n> . <d>20.02.1971</d>
ID-357	"Andere unedle Metalle und Waren daraus (Kap. 74 - 81)
 - Warentarifierungen:  und  im Zusammenhang mit der Warenausfuhr (vgl. auch APP 3.01-610 - 3.01-612)
 - Tarifwesen
 - Oberzolldirektion: Zentrale Ablage (1960-2000)"	<j>Dr. Ihowi</j>, Zug; Tarifauskunft: Pressbolzen aus Aluminium
ID-1412	"Ordipro Nr. 240'000 - 249'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Yula Udu</n>, <d>17.04.2000</d>, Ordipro Nr. <a>414.24.386</a>
ID-2821	"Rechtshilfegesuche Laufnummern 65000 - 69999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>ARIL, U.</n>, <d>09.04.1973</d>, weitere
ID-1766	"Konsularpersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>IOCUB, Mirifi</n>, <d>29.10.2008</d>, Fonctionnaire consulaire, Autriche
ID-1053	"Dienst für Beschwerden an den Bundesrat
 - Bundesamt für  Zentrale Ablage (1984-)"	VERWALTUNGSBESCHWERDE <j>Boulangerie Geda GmbH</j>GEGEN DEN REGIERUNGSRATS/ENTSCHEID KT.AG.:KANTONALE PFLEGEHEIMLISTE // RUECKZUG <wd>23.8.96</wd>
ID-764	"  K 212000 - 212999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Ramafute, Odom</n> . <d>12.04.1964</d>
ID-92	"Verstaatlichte Immobilien und Hausrat
 - 
 - Kommission für Nationalisierungsentschädigungen:   (1951-1980)"	<n>Masih, Orohud</n>, Buchs b/Aarau: Band I
ID-132	"der Bundesanwaltschaft zugestellte kantonale Verfahren (W-Dossiers)
 -  Zuwiderhandlung Kriegsmaterialgesetz (KMG)
 - Bundesanwaltschaft: Zentralstelle zur Bekämpfung des illegalen Kriegsmaterials (1973-1999)"	<n>ELAV, Ivatu</n>, Acquisition d'une arme à épauler semi-automatique sans permission
ID-677	"Ordipro Nr. 150'000 - 159'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Unabu-Doe, Adcop</n>, <d>11.11.1968</d>, (Ordipro Nr. <a>616.74.899</a>)
ID-908	"Ordipro Nr. 230'000 - 239'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Ruhid Owolif Ehuba</n>, <d>15.02.1999</d>, (Ordipro Nr. <a>111-42-370</a>)
ID-69	"
 - Verhaftung, Strafverfolgung   |   Arrestation, poursuites pénales
 - Schutz von Leib und Leben   |   Protection de la personne et de la vie
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, München: Zentrale Ablage (1966-)"	<n>Eioyocit, Bucev</n> (geb. <d>25.11.1991</d> von Collonge-Bellervie, GE)
ID-2815	"Rekurse nach  und Laufnummer
 - Rekurskommission für die Staatshaftung: Zentrale Ablage (1993-2006)"	<j>Dr. Icäwâ, S.A.</j>
ID-2088	"Abkommandierungen von schweiz. Of ins Ausland
 - Abkommandierungen von Of.
 - Ausbildung der Offiziere
 - Ausbildung des Heeres
 - Direktion der eidgenössischen Militärverwaltung: Zentrale Ablage (1959-1989)"	Schweden; Oberstkkdt <n>Ruhid Owolif Ehuba</n>, Gst-Chef
ID-2249	"Revisionsberichte
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<j>To Sport, Sàrl</j>
ID-2627	"   /   Cas particuliers
 - Forderungen und Inkasso   /   Créances et recouvrements
 - Schutz von Rechtsansprüchen   /   Protection de droits
 - Wahrung schweizerischer Interessen   /   Protection des intérêts suisses
 - Schweizerische Vertretung, Porto: Zentrale Ablage  (1966-)"	<n>Elac, Q.</n>
ID-325	"Tribunal militaire 2
 - Oberauditorat:  (2004- 2017)"	<n>Borisa, Ifuw</n>, <d>05.03.2014</d>; Vermögensdelilkte, andere (ausser Diebstahl/ Verlust): Déprédation de container, mobilier militaire durant une peine privative à l'ER inf 3-1 du BAT IFO 1 à Bière le <wd>4 août 2004</wd>
ID-1888	"Aufsichtsbeschwerden
 - Beschwerde an den Bundesrat
 - Reglemente /  / Besoldungen / Geschäftsberichte / Beschwerden
 - Bundesrat
 - Bundesrat und Bundesverwaltung
 - Bundesbehörden
 -  Finanzverwaltung: Zentrale Ablage (1989-2004)"	<n>WOWÂBU, P.</n>, Basel Aufsichtsbeschwerde gegen die ESTV
ID-1728	"
 - Forderungen und Inkasso
 - Schutz von Rechtsansprüchen
 - Wahrung schweizerischer Interessen
 - Schweizerische Vertretung, Astana: Zentrale Ablage (2009-)"	<j>Odun Trade & Consult, Sàrl</j>, Basel
ID-1956	"Dossier N 101000 - 101999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Cide Epomor</n> . <d>26.06.1973</d>
ID-1584	"Abkommandierungen nach Frankreich
 - Abkommandierungen ins Ausland
 - Ausbildung des Heeres
 - Stab der Gruppe für Ausbildung: Zentrale Ablage (1945-1995)"	Hptm <n>OUSUPEY, Ebih</n>
ID-723	"Instruktionspersonal ""A-Z""
 - Zivilpersonal
 - Personelles
 - Untergruppe Ausbildungsführung des Heeres: Zentrale Ablage (1996-2000)"	<n>Nuweniy-Tabof, F.</n>, <d>03 août 2007</d>
ID-38	"Immatrikulationsdossiers
 - Immatrikulation
 - Immatrikulation, Passwesen, Militärangelegenheiten
 - Konsularisches
 - Schweizerische Vertretung, Dresden: Zentrale Ablage (1966-)"	<n>Toric, Cure</n>. Rechtsstreit mit Gemeinde. Unterstützung. Ferienreisen. Hilfspakete
ID-79	"Personalakten ehemalige wissenschaftliche BeraterInnen (Bereiche)
 - Wissenschaftliche BeraterInnen  (T Kt., didakt. Andere)
 - Zentralredaktion
 - Historisches Lexikon der Schweiz: Stiftung Historisches Lexikon der Schweiz, Zentrale Ablage (1988-2016)"	WB-Bereiche: Ne - Pf // <n>UHÉVA, Luvet</n>
ID-1431	" 2002
 - Verfahrensakten der Zweigstelle Lausanne (nach  geordnet) - Procédures pénales traitées par l'Antenne de Lausanne
 - Ressort  und Anklage -  et Accusation  (vorwiegend Wirtschaftskriminalität und Geldwäscherei)
 - Bundesanwaltschaft: Geschäftsdossiers und Verfahrensakten (1889-2008)"	Procédure contre <n>Rena Mofi Nohila</n> pour  blanchiment d'argent - Annexe 82 Rubrique 7 - UBP 182.348, Ablage II, 2001, liste 4A
ID-2639	"Personendossiers Flüchtlinge
 - Rumänien - Roumanie
 - Operationelle Tätigkeiten im Inland
 - Hilfswerk der evangelischen Kirchen der Schweiz: Zentrale Ablage (1946-)"	<n>Menudal, Yewuyo</n>, <d>10.01.1976</d>
ID-1544	"1972 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Wucu Vuhüno Hidiv</n> <d>21.08.1983</d>, refus de servir
